<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<IMAG>,<JOBN>,<RECP>,<MET1>,<POS1>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-75.075,-12635.000,-75.086257,-12634.988747,-66.308594,0,3,1,1,-,1,Angle-150nm-90deg,CD Meas,0.0,82,73,-,-,-,1,0,,-75.075,-12635.000,X,0.000000,1,SPACE-X,151.938,151.938,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0001.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-78.499955:73.438488,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:50:55
0,1,-75.075,-12628.100,-75.086257,-12628.088747,-66.308594,0,3,1,2,-,2,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-75.075,-12628.100,X,0.000000,1,SPACE-X,152.015,152.015,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0002.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-79.870161:72.145081,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:50:57
0,1,-75.075,-12621.200,-75.086257,-12621.188747,-66.308594,0,3,1,3,-,3,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-75.075,-12621.200,X,0.000000,1,SPACE-X,151.847,151.847,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0003.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-77.447678:74.399749,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:00
0,1,-75.075,-12614.300,-75.086257,-12614.288747,-66.308594,0,3,1,4,-,4,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-75.075,-12614.300,X,0.000000,1,SPACE-X,152.165,152.165,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0004.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-81.065920:71.099379,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:03
0,1,-75.075,-12607.400,-75.086257,-12607.388747,-66.308594,0,3,1,5,-,5,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-75.075,-12607.400,X,0.000000,1,SPACE-X,151.915,151.915,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0005.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-79.695720:72.219673,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:05
0,1,-81.975,-12635.000,-81.986257,-12634.988747,-66.308594,0,3,1,6,-,6,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-81.975,-12635.000,X,0.000000,1,SPACE-X,152.212,152.212,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0006.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-81.034967:71.176788,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:09
0,1,-81.975,-12628.100,-81.986257,-12628.088747,-66.308594,0,3,1,7,-,7,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-81.975,-12628.100,X,0.000000,1,SPACE-X,152.188,152.188,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0007.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-80.527125:71.660933,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:11
0,1,-81.975,-12621.200,-81.986257,-12621.188747,-66.308594,0,3,1,8,-,8,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-81.975,-12621.200,X,0.000000,1,SPACE-X,152.097,152.097,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0008.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-80.320330:71.776340,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:14
0,1,-81.975,-12614.300,-81.986257,-12614.288747,-66.308594,0,3,1,9,-,9,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-81.975,-12614.300,X,0.000000,1,SPACE-X,151.914,151.914,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0009.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-80.555260:71.358342,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:17
0,1,-81.975,-12607.400,-81.986257,-12607.388747,-66.308594,0,3,1,10,-,10,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-81.975,-12607.400,X,0.000000,1,SPACE-X,151.949,151.949,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0010.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-81.011054:70.937529,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:20
0,1,-88.875,-12635.000,-88.886257,-12634.988747,-66.308594,0,3,1,11,-,11,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-88.875,-12635.000,X,0.000000,1,SPACE-X,151.875,151.875,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0011.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-82.184299:69.690572,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:23
0,1,-88.875,-12628.100,-88.886257,-12628.088747,-66.308594,0,3,1,12,-,12,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-88.875,-12628.100,X,0.000000,1,SPACE-X,151.914,151.914,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0012.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-84.800863:67.113634,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:26
0,1,-88.875,-12621.200,-88.886257,-12621.188747,-66.308594,0,3,1,13,-,13,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-88.875,-12621.200,X,0.000000,1,SPACE-X,151.832,151.832,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0013.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-83.645921:68.186066,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:28
0,1,-88.875,-12614.300,-88.886257,-12614.288747,-66.308594,0,3,1,14,-,14,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-88.875,-12614.300,X,0.000000,1,SPACE-X,152.095,152.095,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0014.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-83.672649:68.422509,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:32
0,1,-88.875,-12607.400,-88.886257,-12607.388747,-66.308594,0,3,1,15,-,15,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-88.875,-12607.400,X,0.000000,1,SPACE-X,151.960,151.960,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0015.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-84.700983:67.258595,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:34
0,1,-95.775,-12635.000,-95.786257,-12634.988747,-66.308594,0,3,1,16,-,16,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-95.775,-12635.000,X,0.000000,1,SPACE-X,151.437,151.437,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0016.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-85.643504:65.793504,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:37
0,1,-95.775,-12628.100,-95.786257,-12628.088747,-66.308594,0,3,1,17,-,17,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-95.775,-12628.100,X,0.000000,1,SPACE-X,152.026,152.026,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0017.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-84.058099:67.967921,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:40
0,1,-95.775,-12621.200,-95.786257,-12621.188747,-66.308594,0,3,1,18,-,18,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-95.775,-12621.200,X,0.000000,1,SPACE-X,152.119,152.119,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0018.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-84.651748:67.466889,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:43
0,1,-95.775,-12614.300,-95.786257,-12614.288747,-66.308594,0,3,1,19,-,19,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-95.775,-12614.300,X,0.000000,1,SPACE-X,152.224,152.224,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0019.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-85.791211:66.432458,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:47
0,1,-95.775,-12607.400,-95.786257,-12607.388747,-66.308594,0,3,1,20,-,20,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-95.775,-12607.400,X,0.000000,1,SPACE-X,151.834,151.834,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0020.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-85.695552:66.138314,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:49
0,1,-102.675,-12635.000,-102.686257,-12634.988747,-66.308594,0,3,1,21,-,21,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-102.675,-12635.000,X,0.000000,1,SPACE-X,152.107,152.107,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-7\Angle_R270_V01_5-7.000.A00003001S0021.bmp,Angle_R270_V01_1-3.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-85.756042:66.350830,BE1200:1200eV:-30.544pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/18/2023,08:51:52
