<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<IMAG>,<JOBN>,<RECP>,<MET1>,<POS1>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-1075.075,-12635.000,-1075.091886,-12634.966240,-68.222656,0,4,1,1,-,1,Angle-150nm-90deg,CD Meas,0.0,82,74,-,-,-,1,0,,-1075.075,-12635.000,X,0.000000,1,SPACE-X,152.074,152.074,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0001.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-75.177106:76.896504,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:23
0,1,-1075.075,-12628.100,-1075.091886,-12628.066240,-68.222656,0,4,1,2,-,2,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1075.075,-12628.100,X,0.000000,1,SPACE-X,151.917,151.917,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0002.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-76.484025:75.432790,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:26
0,1,-1075.075,-12621.200,-1075.091886,-12621.166240,-68.222656,0,4,1,3,-,3,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1075.075,-12621.200,X,0.000000,1,SPACE-X,152.140,152.140,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0003.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-77.121303:75.019011,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:28
0,1,-1075.075,-12614.300,-1075.091886,-12614.266240,-68.222656,0,4,1,4,-,4,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1075.075,-12614.300,X,0.000000,1,SPACE-X,151.915,151.915,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0004.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-76.896216:75.019010,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:32
0,1,-1075.075,-12607.400,-1075.091886,-12607.366240,-68.222656,0,4,1,5,-,5,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1075.075,-12607.400,X,0.000000,1,SPACE-X,151.839,151.839,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0005.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-77.852835:73.985970,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:34
0,1,-1081.975,-12635.000,-1081.991886,-12634.966240,-68.222656,0,4,1,6,-,6,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1081.975,-12635.000,X,0.000000,1,SPACE-X,151.682,151.682,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0006.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-79.297603:72.384339,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:38
0,1,-1081.975,-12628.100,-1081.991886,-12628.066240,-68.222656,0,4,1,7,-,7,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1081.975,-12628.100,X,0.000000,1,SPACE-X,151.775,151.775,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0007.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-78.957162:72.817820,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:41
0,1,-1081.975,-12621.200,-1081.991886,-12621.166240,-68.222656,0,4,1,8,-,8,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1081.975,-12621.200,X,0.000000,1,SPACE-X,151.999,151.999,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0008.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-78.753177:73.245673,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:43
0,1,-1081.975,-12614.300,-1081.991886,-12614.266240,-68.222656,0,4,1,9,-,9,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1081.975,-12614.300,X,0.000000,1,SPACE-X,152.056,152.056,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0009.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-79.016246:73.040191,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:47
0,1,-1081.975,-12607.400,-1081.991886,-12607.366240,-68.222656,0,4,1,10,-,10,Angle-150nm-90deg,CD Meas,0.0,82,999,-,-,-,1,0,,-1081.975,-12607.400,X,0.000000,1,SPACE-X,151.946,151.946,150.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Angle\Angle_R270_V01_5-8\Angle_R270_V01_5-8.000.A00004001S0010.bmp,Angle_R270_V01_1-4.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1500:0.000:999.999:0.050:10040.000:0.000:0.150:0.000;@E,S06:D05:F40pix,-79.455162:72.491303,BE1200:1200eV:-30.091pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/25/2023,01:24:50
