,Date,nft_dynamic_old_hor,nft_dynamic_old_ver
0,2018-06-06 14:01:17,0.20402954445813037,0.19378969054811906
1,2018-06-07 10:28:17,0.17981125668506,0.19874974857584618
2,2018-06-08 09:22:30,0.18251644859966465,0.17699469881332341
3,2018-06-11 11:03:48,0.16247449509570452,0.20541438402102105
4,2018-06-12 10:02:26,0.18781505558962022,0.18512044730875082
5,2018-06-13 12:18:30,0.19811831397563306,0.22464824705672737
6,2018-06-14 11:10:37,0.1792561990717765,0.1781877119000337
7,2018-06-15 10:11:00,0.20345884800172345,0.20964521538195655
8,2018-06-18 10:33:19,0.19010838331241603,0.20330252880704475
9,2018-06-19 14:29:50,0.18000110013421688,0.197035435977036
10,2018-06-20 20:48:21,0.18264665663308813,0.22776411426140447
11,2018-06-20 21:45:42,0.18552880774251362,0.20386845396290842
12,2018-06-21 10:58:39,0.17621479525963757,0.2054786864033295
13,2018-06-22 12:44:39,0.18868650953292074,0.21395451115127492
14,2018-06-25 12:00:13,0.18770452807135482,0.2122842728512877
15,2018-06-26 09:27:19,0.19809058641068253,0.2008112039270755
16,2018-06-27 12:03:49,0.17024602844257913,0.20993211672365603
17,2018-06-28 09:45:22,0.18583608828724696,0.17885371595218752
18,2018-06-29 06:00:12,0.22611186912342843,0.22914882144641952
19,2018-07-02 11:57:09,0.17223895547470924,0.21438365981738966
20,2018-07-02 23:07:04,0.18495831583548297,0.19386072079819613
21,2018-07-04 10:44:32,0.195290175969476,0.21957429827878994
22,2018-07-05 09:15:01,0.18578027144203413,0.20886946191974037
23,2018-07-06 10:04:29,0.21186893420938044,0.2157592830432552
24,2018-07-09 09:50:02,0.20817685016205906,0.21270590537548212
25,2018-07-10 04:12:52,0.17552861200407016,0.195749357965404
26,2018-07-11 10:28:02,0.20232215111101653,0.18876167775945943
27,2018-07-12 10:01:13,0.2152340056348061,0.22551844515199443
28,2018-07-12 14:03:42,0.2070162485932043,0.22606326756772363
29,2018-07-13 13:44:52,0.19678943108988287,0.2025571879415596
30,2018-07-17 00:56:33,0.19841730609624508,0.2005244299154715
31,2018-07-18 10:58:55,0.18020970439729878,0.1990205576574494
32,2018-07-19 08:57:48,0.18257908550713664,0.2039543160383244
33,2018-07-20 09:53:32,0.20066714158004378,0.21587009286356804
34,2018-07-26 05:30:01,0.18507631600948113,0.21082031451402555
35,2018-07-30 09:41:39,0.18858294056381972,0.19607324211524818
36,2018-07-31 09:44:05,0.17971263224570416,0.2009583309208906
37,2018-08-01 09:41:51,0.17657994958856002,0.20907914636748104
38,2018-08-02 02:06:00,0.18888400107168646,0.2063385933225747
39,2018-08-03 13:39:30,0.2165547902531895,0.20325651446428478
40,2018-08-06 13:48:01,0.17673957296243287,0.20733057373249514
41,2018-08-06 16:16:14,0.1929295264639511,0.23288991042412838
42,2018-08-06 16:47:56,0.20212587907184706,0.21057936253234422
43,2018-08-07 04:26:04,0.21525906356238397,0.2328171205379154
44,2018-08-07 14:46:02,0.21525906356238397,0.2328171205379154
45,2018-08-08 04:56:20,0.20152645081318254,0.2280105741713818
46,2018-08-09 10:46:56,0.24282576446249027,0.2375565589307915
47,2018-08-10 04:37:38,0.21369753204113412,0.22401443107574331
48,2018-08-11 02:34:34,0.20461173367283522,0.23579830884217434
49,2018-08-12 04:36:45,0.21445757224871267,0.19977985053364436
50,2018-08-13 00:58:13,0.22269734901223034,0.22295825147005757
51,2018-08-14 11:13:35,0.20109139317240507,0.23118972506159688
52,2018-08-15 13:02:19,0.1800382015279911,0.19414860397264921
53,2018-08-16 06:55:56,0.19780972668627378,0.21033493127314615
54,2018-08-17 05:50:42,0.22172471099230884,0.2817851572086663
55,2018-08-17 12:12:07,0.20327312190071758,0.21153048714765763
56,2018-08-19 07:36:15,0.2171584562160364,0.2335392400667255
57,2018-08-20 09:18:32,0.20988881785566477,0.20565244268328967
58,2018-08-21 10:13:31,0.19165623522337993,0.2079019517013404
59,2018-08-22 11:34:30,0.206572387405014,0.21766811329905197
60,2018-08-23 11:06:20,0.20304345489444284,0.20991162392418974
61,2018-08-23 23:49:06,0.2046042590714776,0.23079289256187288
62,2018-08-24 16:03:01,0.20342252085972348,0.23157661279658573
63,2018-08-25 11:26:08,0.1972329297979877,0.206881946101253
64,2018-08-27 08:54:08,0.1972329297979877,0.206881946101253
65,2018-08-27 16:10:45,0.17098788437715165,0.21893861854647426
66,2018-08-28 13:34:58,0.17962357997626793,0.17182552924405534
67,2018-08-29 09:49:16,0.1899412205813763,0.19395095132848916
68,2018-08-30 19:25:53,0.22108031708809828,0.21001986723744487
69,2018-08-31 09:30:31,0.17463039473170364,0.19235983196299292
70,2018-09-03 00:37:47,0.1803006608470613,0.20106051565433888
71,2018-09-04 13:57:10,0.19351559649006467,0.20717370173040733
72,2018-09-05 14:21:10,0.20347208633484143,0.20942475753452924
73,2018-09-06 20:42:49,0.22629845110839103,0.23157176085293407
74,2018-09-08 09:14:44,0.23792679873566952,0.22711212269182138
75,2018-09-09 20:22:17,0.24579612899373035,0.24730754524268211
76,2018-09-10 10:52:00,0.20804306520798185,0.23632892661839847
77,2018-09-11 10:58:33,0.20747412503481535,0.23390806090254537
78,2018-09-12 09:33:15,0.19419390307866238,0.2410813140830293
79,2018-09-13 11:16:35,0.1877082975066108,0.21595320346062363
80,2018-09-14 10:18:55,0.20157776719275286,0.2162669733768551
81,2018-09-15 07:05:26,0.18336091073319333,0.19772758382598024
82,2018-09-16 10:10:06,0.21822441130872097,0.2473902812121118
83,2018-09-17 20:13:41,0.22146959481357067,0.25898669922866213
