,Date,nft_dynamic_hor,nft_dynamic_ver
0,2022-11-10 18:27:52,0.2141632016247118,0.2042515290820436
1,2022-11-18 14:31:15,0.21476467627724657,0.21278317448245435
2,2022-11-21 11:48:06,0.20279319851733082,0.21072650182350627
3,2022-11-22 16:44:22,0.21497329519514438,0.19940075742940236
4,2022-11-25 09:08:57,0.20694442838215982,0.21376061361033322
5,2022-11-28 09:29:33,0.19163555553263495,0.20446571768997876
6,2022-11-30 13:06:00,0.22654306159005563,0.2068037006154266
7,2022-12-02 16:38:21,0.214286473157139,0.19043857838407793
8,2022-12-05 09:59:42,0.21345592112178186,0.19268420265586175
9,2022-12-07 09:02:09,0.22121080644251567,0.21480370249746128
10,2022-12-09 09:40:48,0.2124991204566557,0.2100480051157962
11,2022-12-12 09:07:02,0.19368276750952113,0.2039857234407509
12,2022-12-15 04:26:31,0.2090922548728046,0.20702938237226592
13,2022-12-16 09:07:30,0.19169033345064285,0.2005586675664487
14,2022-12-19 09:06:35,0.2146579214789818,0.19679371413669053
15,2022-12-21 08:57:48,0.2122722562575114,0.20844029095715072
16,2022-12-25 06:42:35,0.21397266636915366,0.2046223083768674
17,2022-12-26 21:14:25,0.20809196197102184,0.19466267610364013
18,2023-01-11 10:19:40,0.2130156863981017,0.20326730835110032
19,2023-01-13 17:02:20,0.18785685379666794,0.20874530358621557
20,2023-01-16 11:23:42,0.19015503446491544,0.17853671072697136
21,2023-01-18 10:28:17,0.2051800213872447,0.19136744879827217
22,2023-01-20 22:06:52,0.185266205344717,0.1960632394532187
23,2023-01-23 09:16:08,0.17754773099954968,0.1810346611271213
24,2023-01-25 10:19:49,0.20059628969255525,0.18979443195640386
25,2023-01-27 15:13:50,0.18765186129584274,0.18313783306770676
26,2023-01-30 12:27:00,0.18195748565386838,0.17868191113721354
27,2023-02-01 11:16:07,0.20782524916664105,0.20753050609603851
28,2023-02-03 17:48:09,0.2164273089934014,0.21690288662040566
29,2023-02-06 10:25:45,0.20095833358742418,0.18555218993161768
30,2023-02-08 15:27:28,0.19713979374204074,0.199452586554018
31,2023-02-10 13:43:29,0.20569056213871678,0.22359931157530138
32,2023-02-11 12:20:36,0.19921335952914804,0.22604205614066814
33,2023-02-13 14:51:08,0.2124931922028013,0.2109805911868123
34,2023-02-14 15:50:57,0.2157353745639223,0.21365487289195528
35,2023-02-15 09:32:11,0.22844076735814245,0.22107995319143098
36,2023-02-17 09:20:35,0.1942080744841805,0.20213764693600145
37,2023-02-20 16:48:02,0.21166176281566595,0.21705924646322772
38,2023-02-22 13:57:24,0.21453751150302833,0.2061131054718319
39,2023-02-24 12:56:24,0.2230349527886639,0.21345093112938152
40,2023-03-06 17:45:49,0.20915708309547515,0.20760728268423007
41,2023-03-08 13:04:07,0.197621800502899,0.19218264215524902
42,2023-03-10 12:42:44,0.1813484593120481,0.18029895956652653
43,2023-03-13 11:04:05,0.18493632629639742,0.183540226710039
44,2023-03-15 13:15:14,0.18464422567069064,0.18763359046104103
45,2023-03-17 21:56:39,0.18656695420340488,0.18171746512746895
46,2023-03-20 10:15:22,0.18327432353016862,0.19820840591083097
47,2023-03-22 09:48:28,0.21177895402434782,0.209237608840105
48,2023-03-24 11:36:03,0.2183204061631495,0.21641583475801232
49,2023-03-27 10:15:46,0.19780863008480998,0.2103569655161818
50,2023-03-29 10:08:29,0.19744183368379464,0.2138958917431464
51,2023-03-31 13:23:59,0.21875826565266246,0.20263016445680912
52,2023-04-03 11:51:07,0.2045675602234435,0.20499440204874667
53,2023-04-05 14:24:48,0.22211990982987395,0.21701003239253167
54,2023-04-07 11:50:37,0.20003724377489934,0.2041601986082791
55,2023-04-10 12:28:41,0.22322089989885519,0.19842351097055624
56,2023-04-12 09:13:40,0.2056414590341966,0.20096615561612646
57,2023-04-14 08:49:21,0.2055220722299992,0.21608580285565349
58,2023-04-17 10:24:27,0.2018929734418322,0.18888545034010462
59,2023-04-19 09:22:20,0.21559574034214274,0.19878898462693398
60,2023-04-21 18:15:43,0.22655441846641125,0.18916812958318327
61,2023-04-24 10:41:04,0.1981002139928341,0.1812873868641431
62,2023-04-26 09:27:29,0.21609785604431356,0.2226658695290432
63,2023-04-28 19:19:49,0.21991818937591695,0.19747452815313182
64,2023-05-08 10:38:44,0.19566150242041033,0.21151874916895566
65,2023-05-09 12:57:28,0.2323780871072985,0.22810369159145058
66,2023-05-10 09:06:11,0.21270461861325893,0.21324577718907006
67,2023-05-11 11:45:42,0.24855041302017716,0.20613647410364286
68,2023-05-13 04:53:12,0.21479819599939845,0.2053312637477367
69,2023-05-15 11:37:32,0.21209552942705046,0.21865912229931214
70,2023-05-17 08:57:10,0.20384527003991892,0.22570063218264821
71,2023-05-19 17:48:50,0.23378831143455192,0.20825078455867094
72,2023-05-22 14:59:09,0.22716723870935004,0.2197368923013057
73,2023-05-24 08:56:20,0.22681687742967546,0.217166185105152
74,2023-05-29 14:15:32,0.22966695901548198,0.23007358622433044
75,2023-05-30 09:41:20,0.2016273789222722,0.2105823004479456
76,2023-05-31 11:03:14,0.21141045882402248,0.21533205996273203
77,2023-06-02 19:01:36,0.21913668616702414,0.21380280501000734
78,2023-06-05 19:58:51,0.20584686738568472,0.2141099302863899
79,2023-06-07 09:03:46,0.21520617764613276,0.22775098131487806
80,2023-06-08 19:30:27,0.20975626546240625,0.2199184531457222
81,2023-06-09 21:59:36,0.21822044710339913,0.2098830541954721
82,2023-06-12 10:15:09,0.22000068453269164,0.21212102127191723
83,2023-06-14 15:08:59,0.20361152982609973,0.20992994367169274
