,Date,xy_scan_difference_hor,xy_scan_difference_ver
0,2019-01-09 00:25:53,0.04752734374999257,-0.004421874999995801
1,2019-01-10 09:47:54,0.02999609375000567,0.09991406249999901
2,2019-01-11 02:42:03,0.06883203125000037,0.12297265625000176
3,2019-01-16 03:01:16,0.15485937499999647,0.18848046875000168
4,2019-01-17 04:08:57,0.11798828124999527,0.1743789062500074
5,2019-01-18 09:06:56,0.17522265625000255,0.1602773437499989
6,2019-01-21 08:24:48,0.16727343749999957,0.13709765624999815
7,2019-01-22 00:36:11,-0.0074804687499927525,0.20091796874999623
8,2019-01-23 03:20:12,0.12310937500000207,0.15179687500000227
9,2019-01-23 22:52:45,0.12251953125001158,0.1341289062499973
10,2019-01-25 00:32:12,0.0811914062500021,0.15827734374999824
11,2019-01-28 08:58:41,0.18047265624999564,0.1278320312499961
12,2019-01-29 03:31:03,0.11913671874999476,0.1563828125000013
13,2019-01-30 08:47:02,0.12413671874999288,0.15907031249999815
14,2019-01-30 23:50:58,0.08130859375000288,0.12965234374999923
15,2019-02-01 01:44:06,0.047937499999999744,0.1298710937499985
16,2019-02-04 08:39:06,0.09757421875000016,0.14785156249999876
17,2019-02-05 04:02:58,0.07414843749999722,0.10505859374999993
18,2019-02-06 06:18:44,0.07029687500000392,0.10335156249999766
19,2019-02-07 03:51:07,0.05765625000000263,0.08762499999999385
20,2019-02-08 00:37:21,0.045929687500001926,0.08013671875000394
21,2019-02-10 11:26:16,0.10541406249999774,0.08076562500000506
22,2019-02-13 02:25:52,0.02524218749999374,0.08133984374999059
23,2019-02-14 08:02:01,0.08182031250000943,0.08162890625000596
24,2019-02-14 21:18:57,0.06155078124999758,0.08167578125000308
25,2019-02-18 07:58:31,0.0907773437499948,0.08169921875000341
26,2019-02-19 08:42:59,0.07792968749999662,0.08632031249999894
27,2019-02-20 10:13:07,0.10046093749999851,0.07761718750000668
28,2019-02-20 21:27:34,0.030800781250005294,0.08784375000000466
29,2019-02-22 09:08:30,0.09946875000000066,0.080218750000002
30,2019-02-25 08:00:21,0.10019531249999947,0.07582812500000635
31,2019-02-26 00:19:39,0.051605468750001826,0.08982812499999504
32,2019-02-27 03:03:09,0.08544531249999832,0.08509374999999775
33,2019-03-17 04:01:45,0.07003124999999333,0.07134765625000039
34,2019-04-13 03:16:42,0.07220312500000503,0.09511328125000951
35,2019-04-20 23:23:54,0.1090624999999994,0.08323437500000086
36,2019-05-06 12:57:02,0.04065234375000415,-0.008246093750002181
37,2019-05-09 01:56:23,0.06622265625000257,0.07352734375000036
38,2019-05-16 20:19:34,0.14248046874999964,0.20197656249999252
39,2019-05-22 23:45:10,0.18422656250000458,0.14835156250000203
40,2019-05-24 08:45:59,0.18580078125000465,0.16842968750000775
41,2019-05-27 13:26:20,0.16506249999999856,0.14531249999999574
42,2019-05-28 06:17:03,0.1441757812499942,0.12650390625000263
43,2019-05-29 02:54:10,0.14230078125000656,0.1350000000000069
44,2019-05-30 02:58:06,0.14280468749999908,0.1218906249999927
45,2019-05-31 02:21:10,0.1604492187499984,0.12383984374999457
46,2019-06-03 04:41:20,0.17319531250000075,0.14158593750001014
47,2019-06-03 17:04:28,0.1443515625000069,0.12381640625001022
48,2019-06-04 09:58:21,0.0904609375000005,0.1413124999999944
49,2019-06-05 03:17:42,0.1361992187499954,0.12282812499999718
50,2019-06-06 09:03:00,0.1339218749999933,0.15014843749999418
51,2019-06-10 01:30:33,0.1450429687499959,0.13364843749999622
52,2019-06-10 18:09:01,0.11766796874999574,0.11574218749999865
53,2019-06-11 20:03:06,0.13668749999999896,0.11287109374999904
54,2019-06-12 23:35:13,0.1209804687500009,0.07231249999999623
55,2019-06-14 06:48:46,0.12655468749999788,0.11087499999999828
56,2019-06-17 00:16:10,0.12677343750000425,0.11713281249999419
57,2019-06-18 07:13:31,0.14278124999999786,0.11121093749999744
58,2019-06-19 05:30:43,0.1503710937499898,0.12272265625000234
59,2019-06-20 06:48:20,0.1276210937500064,0.12582812499999996
60,2019-06-21 04:29:10,0.13416796874999815,0.10824218749999392
61,2019-06-24 01:24:05,0.1573242187499968,0.12098437500000347
62,2019-06-25 04:26:35,0.14883984375000825,0.12837890625000004
63,2019-06-26 00:40:00,0.1598398437499995,0.12989843750000318
64,2019-06-27 01:16:18,0.12332812499999424,0.14648437499999734
65,2019-06-28 10:03:53,0.1475664062499984,0.11699218750000018
66,2019-07-01 09:48:35,0.14772656249999816,0.08821484375000299
67,2019-07-02 01:08:23,0.11967187499999898,0.12467578124999967
68,2019-07-08 06:59:02,0.15147656250000008,0.09992578125000584
69,2019-07-08 22:21:16,0.1385820312500039,0.10674609374999555
70,2019-07-10 04:39:52,0.14173828125000032,0.09117578124999959
71,2019-07-10 22:58:08,0.14113281249999599,0.09074218750000007
72,2019-07-12 03:08:04,0.14061328124999406,0.09479687499998857
73,2019-07-16 01:22:44,0.2021875000000044,0.09482421874999769
74,2019-07-17 04:02:02,0.15061718750000885,0.11471875000000065
75,2019-07-18 01:18:10,0.1600742187500046,0.1176132812499997
76,2019-07-19 00:19:32,0.13779296875000036,0.14755859374999591
77,2019-07-21 22:58:42,0.17382812499999822,0.11352734375000395
78,2019-07-23 02:47:23,0.16910546875000154,0.11251562500000922
79,2019-07-24 00:12:04,0.1530468749999958,0.15837109374999958
80,2019-07-25 01:38:33,0.1844609375000017,0.13081250000000288
81,2019-07-29 00:38:29,0.18111328125000004,0.13326953124999985
82,2019-08-01 00:53:27,0.21510937500000527,0.18644531249999385
