,Date,cd_mean_space_hor,cd_mean_space_ver,cd_mean_pitch_hor,cd_mean_pitch_ver
0,2023-03-31 17:37:09,-0.32525000000003956,-0.2948124999999777,0.025437499999952706,0.02381249999996271
1,2023-04-04 16:24:06,-0.263187500000015,-0.14993749999996453,0.016124999999988177,0.03756250000014916
2,2023-04-06 12:41:10,-0.3534375000000409,-0.2248124999999277,0.053625000000010914,0.0529999999997699
3,2023-04-11 11:14:44,-0.4101875000000632,-0.2927499999998986,0.09562499999992724,0.1255625000001146
4,2023-04-13 09:23:06,-0.36218750000000455,-0.28799999999995407,0.1306249999998954,0.1385624999998072
5,2023-04-14 10:04:56,-0.38031250000011596,-0.2031874999999559,-0.011437499999829015,0.00881250000009004
6,2023-04-19 09:45:43,-0.3611250000000723,-0.25712500000003047,0.04437499999994543,0.018187500000067303
7,2023-04-20 17:22:04,-0.4390000000000214,-0.32562500000011596,0.02412499999991269,0.05187500000033651
8,2023-04-21 19:29:39,-0.3820624999999609,-0.29418750000007776,0.04193750000013097,0.06462499999986449
9,2023-04-27 10:08:10,-0.3448125000001028,-0.21737499999994725,0.12731250000001637,0.12106250000022101
10,2023-04-28 20:33:31,-0.2995624999998654,-0.14831250000008822,0.18250000000011823,0.24225000000001273
11,2023-05-09 14:11:11,-0.04862499999995862,-0.10924999999997453,-0.0385625000002392,-0.02037499999994452
12,2023-05-11 13:01:10,-0.08012500000000955,-0.11481249999985721,-0.018437500000004547,0.009062499999686224
13,2023-05-13 03:48:54,-0.056625000000110504,-0.14499999999986812,-0.015562499999987267,-0.021375000000148248
14,2023-05-16 09:03:47,-0.09687500000006821,-0.21106250000013915,-0.00581249999981992,0.021687500000211912
15,2023-05-18 12:28:52,-0.09318750000005593,-0.21537500000016507,-0.0001250000001391527,-0.006437500000060936
16,2023-05-19 19:02:34,-0.132000000000005,-0.2495625000001951,-0.004312499999969077,0.03306249999991451
17,2023-05-23 09:30:43,-0.175937499999975,-0.22550000000001091,0.060812500000224645,0.09500000000014097
18,2023-05-25 09:44:45,-0.14293750000001637,-0.2163749999998572,-0.04062500000009095,0.0019999999998390194
19,2023-05-29 13:10:18,-0.2005624999999327,-0.22450000000003456,-0.0068125000002510205,0.03999999999996362
20,2023-05-30 10:55:49,-0.1510625000000232,-0.19793749999985266,-0.043437499999754436,0.002312500000016371
21,2023-06-01 12:56:26,-0.13268750000003138,-0.20074999999991405,-0.005625000000009095,0.03381250000040836
22,2023-06-02 20:15:53,-0.10850000000004911,-0.20587499999993497,0.0030624999998281055,-0.011437499999829015
23,2023-06-06 10:12:49,-0.12656249999997726,-0.22881250000000364,0.020437499999843567,0.04306249999990541
24,2023-06-08 20:45:52,-0.08349999999995816,-0.12993750000003956,-0.05743750000021919,-0.06868749999978263
25,2023-06-09 20:56:31,-0.10543750000010732,-0.2083124999999768,-0.033000000000242835,-0.026749999999879037
26,2023-06-13 10:54:27,-0.1345625000000723,-0.43493749999998954,-0.04368749999969168,-0.3147500000001173
27,2023-06-15 20:51:35,-0.24612500000000637,-0.49862499999994725,-0.0896874999997408,-0.3552500000001828
28,2023-06-16 21:22:25,-0.2345000000000823,-0.48975000000007185,-0.0515624999998181,-0.30831249999971533
29,2023-06-20 08:57:32,-0.14518750000002,-0.44618750000000773,-0.023312499999860847,-0.28062499999998636
30,2023-06-22 12:23:25,-0.19587499999994407,-0.4751249999998777,-0.10350000000028103,-0.3470000000000937
31,2023-06-23 21:44:34,-0.09568750000005366,-0.3634999999999309,-0.06787500000007185,-0.33599999999978536
32,2023-06-27 10:02:38,-0.12825000000009368,-0.2753124999999841,-0.103874999999789,-0.3318749999998545
33,2023-06-29 18:06:17,-0.08106250000008686,-0.3496250000000032,-0.036624999999844476,-0.29849999999964894
34,2023-06-30 18:36:30,-0.11512499999997772,-0.33262499999995043,-0.003000000000156433,-0.26037499999983993
35,2023-07-04 08:57:25,-0.06675000000007003,-0.22187499999989768,-0.10856250000028922,-0.36618750000013733
36,2023-07-06 17:22:14,-0.12187500000004547,-0.2697499999999877,-0.17962499999987358,-0.42743750000022374
37,2023-07-08 08:59:44,-0.11099999999999,-0.2230000000000132,-0.11662500000011278,-0.31237499999997453
38,2023-07-11 14:42:26,-0.029812500000048203,-0.1970625000000723,-0.0894999999997026,-0.3588125000001128
39,2023-07-13 08:55:40,-0.05893750000001319,-0.23181249999998954,-0.02681249999989177,-0.2730625000000373
40,2023-07-17 10:19:40,-0.05687499999993406,-0.24593749999996817,0.13018749999980628,-0.14418749999992997
41,2023-07-18 14:29:07,0.014374999999915872,-0.09800000000001319,-0.08581250000008822,-0.32318750000024465
42,2023-07-20 11:29:16,0.13400000000001455,0.0779374999999618,0.025562499999978172,-0.2547500000001719
43,2023-07-22 14:32:10,0.15874999999999773,0.08800000000002228,0.19562499999960892,-0.02174999999999727
44,2023-07-24 09:53:09,0.2783749999999259,0.2781874999999445,0.3391874999998663,0.1402500000000373
45,2023-07-28 00:41:57,0.11781250000007049,0.018374999999821284,0.10462500000005548,-0.09706250000010641
46,2023-07-28 20:53:49,0.1591249999999036,0.10918749999990496,0.15081249999991542,-0.022874999999885404
47,2023-08-01 16:32:25,0.21506249999993088,0.20543749999995953,0.30731249999996635,0.13924999999994725
48,2023-08-02 11:06:08,0.21600000000012187,0.16112499999997,0.2058750000001055,0.015999999999849024
49,2023-08-05 01:32:56,-0.0879375000000664,-0.07887500000003911,-0.10781250000013642,-0.10693750000007185
50,2023-08-08 14:28:59,-0.16650000000004184,-0.27668750000003683,0.027687500000183718,0.014750000000049113
