,Date,magnification_error_hor,magnification_error_ver
0,2023-04-03 13:02:52,0.18142500000010386,0.11624999999986585
1,2023-05-13 08:20:55,0.18537500000007867,0.15347499999990077
2,2023-06-02 23:38:50,0.1692999999999074,0.16475000000002638
3,2023-07-08 11:34:12,0.16902499999997644,0.13710000000020273
4,2023-08-04 23:08:35,0.1910250000000815,0.13260000000002492
5,2023-09-08 22:28:09,0.15522500000008677,0.14699999999987767
6,2023-10-04 22:21:22,0.16187499999995225,0.07205000000004702
7,2023-11-04 04:22:39,0.14504999999996926,0.04734999999993761
8,2023-11-16 00:12:54,0.21749999999997272,0.13412499999992633
9,2023-11-18 11:04:00,0.1861000000000672,0.17222500000002583
10,2023-12-02 12:26:26,0.22865000000007285,0.12027500000021973
11,2023-12-08 22:02:26,0.1956500000000574,0.14022500000004356
12,2024-01-05 15:33:04,0.2288500000000795,0.13867499999992106
