<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<FLD3>,<RFLD3>,<COND3>,<XFDP3>,<YFDP3>,<AXS3>,<ANG3>,<TYP3>,<LBL3>,<CD_3>,<CCD3>,<DES3>,<CAL3>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<MET3>,<POS1>,<POS2>,<POS3>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,66227.940,-68913.000,66227.917485,-68913.000000,-79.980469,0,12,1,1,-,1,Horizontal,CD Meas,0.0,82,76,-,-,-,1,0,,66227.940,-68913.000,X,0.000000,1,SPACE-X,125.768,125.768,120.000,,2,0,,66228.127,-68913.000,X,0.000000,0,LINE_-X,249.480,249.480,120.000,,3,0,,66228.060,-68913.000,X,0.000000,3,PICHF-X,375.248,375.248,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0001.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-68.345561:57.422446,57.422446:306.902660,-68.345561:306.902660,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:03
0,1,66227.940,-68907.000,66227.917485,-68907.000000,-79.980469,0,12,1,2,-,2,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66227.940,-68907.000,X,0.000000,1,SPACE-X,125.961,125.961,120.000,,2,0,,66228.127,-68907.000,X,0.000000,0,LINE_-X,249.333,249.333,120.000,,3,0,,66228.060,-68907.000,X,0.000000,3,PICHF-X,375.294,375.294,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0002.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-64.753856:61.206855,61.206855:310.539820,-64.753856:310.539820,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:06
0,1,66227.940,-68901.000,66227.917485,-68901.000000,-79.980469,0,12,1,3,-,3,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66227.940,-68901.000,X,0.000000,1,SPACE-X,126.194,126.194,120.000,,2,0,,66228.127,-68901.000,X,0.000000,0,LINE_-X,248.973,248.973,120.000,,3,0,,66228.060,-68901.000,X,0.000000,3,PICHF-X,375.167,375.167,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0003.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-64.729939:61.464405,61.464405:310.437028,-64.729939:310.437028,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:09
0,1,66227.940,-68895.000,66227.917485,-68895.000000,-79.980469,0,12,1,4,-,4,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66227.940,-68895.000,X,0.000000,1,SPACE-X,125.935,125.935,120.000,,2,0,,66228.127,-68895.000,X,0.000000,0,LINE_-X,249.165,249.165,120.000,,3,0,,66228.060,-68895.000,X,0.000000,3,PICHF-X,375.101,375.101,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0004.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-65.011311:60.923973,60.923973:310.089223,-65.011311:310.089223,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:11
0,1,66227.940,-68889.000,66227.917485,-68889.000000,-79.980469,0,12,1,5,-,5,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66227.940,-68889.000,X,0.000000,1,SPACE-X,125.886,125.886,120.000,,2,0,,66228.127,-68889.000,X,0.000000,0,LINE_-X,249.010,249.010,120.000,,3,0,,66228.060,-68889.000,X,0.000000,3,PICHF-X,374.896,374.896,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0005.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-65.277210:60.608722,60.608722:309.618911,-65.277210:309.618911,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:15
0,1,66227.940,-68883.000,66227.917485,-68883.000000,-79.980469,0,12,1,6,-,6,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66227.940,-68883.000,X,0.000000,1,SPACE-X,125.785,125.785,120.000,,2,0,,66228.127,-68883.000,X,0.000000,0,LINE_-X,248.999,248.999,120.000,,3,0,,66228.060,-68883.000,X,0.000000,3,PICHF-X,374.783,374.783,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0006.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-65.285650:60.498948,60.498948:309.497813,-65.285650:309.497813,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:18
0,1,66221.940,-68913.000,66221.917485,-68913.000000,-79.980469,0,12,1,7,-,7,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66221.940,-68913.000,X,0.000000,1,SPACE-X,125.827,125.827,120.000,,2,0,,66222.127,-68913.000,X,0.000000,0,LINE_-X,249.247,249.247,120.000,,3,0,,66222.060,-68913.000,X,0.000000,3,PICHF-X,375.074,375.074,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0007.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-64.842488:60.984490,60.984490:310.231442,-64.842488:310.231442,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:21
0,1,66221.940,-68907.000,66221.917485,-68907.000000,-79.980469,0,12,1,8,-,8,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66221.940,-68907.000,X,0.000000,1,SPACE-X,125.959,125.959,120.000,,2,0,,66222.127,-68907.000,X,0.000000,0,LINE_-X,249.006,249.006,120.000,,3,0,,66222.060,-68907.000,X,0.000000,3,PICHF-X,374.965,374.965,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0008.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-65.794935:60.163993,60.163993:309.169721,-65.794935:309.169721,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:24
0,1,66221.940,-68901.000,66221.917485,-68901.000000,-79.980469,0,12,1,9,-,9,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66221.940,-68901.000,X,0.000000,1,SPACE-X,126.336,126.336,120.000,,2,0,,66222.127,-68901.000,X,0.000000,0,LINE_-X,249.083,249.083,120.000,,3,0,,66222.060,-68901.000,X,0.000000,3,PICHF-X,375.420,375.420,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0009.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-65.679572:60.656573,60.656573:309.740009,-65.679572:309.740009,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:27
0,1,66221.940,-68895.000,66221.917485,-68895.000000,-79.980469,0,12,1,10,-,10,Horizontal,CD Meas,0.0,82,999,-,-,-,1,0,,66221.940,-68895.000,X,0.000000,1,SPACE-X,126.367,126.367,120.000,,2,0,,66222.127,-68895.000,X,0.000000,0,LINE_-X,249.068,249.068,120.000,,3,0,,66222.060,-68895.000,X,0.000000,3,PICHF-X,375.435,375.435,120.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference global\XY_scan_difference_global_R270_V01\XY_scan_difference_global_R270_V01.060.A00012001S0010.bmp,XY_scan_difference_global_R270_V01.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.120:0.000;@2:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.187:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.255:0.000;@3:RCP:1:1:3:PICHF-X:3:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.120:0.000:0.1200:0.000:999.999:0.040:10040.000:0.000:0.375:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,S06:D05:F40pix,-65.787901:60.579168,60.579168:309.647073,-65.787901:309.647073,BE1200:1200eV:-31.386pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/15/2023,21:02:30
