,design_pos_x,design_pos_y,rotation,category,design_size,chip,cd,cd_remove_ave,cd_remove_1st,rep_3s_nocorr,rep_3s_1st
0,-7388.0,-8845.0,0,iso_space,110,1,115.31800000000001,-1.1368683772161604e-14,9.947598300641402e-15,0.35490843889657253,0.15498582535383548
1,-7388.0,-8695.0,0,ls_line,110,1,98.62100000000001,2.842170943040401e-15,0.0,0.171143214881568,0.12255858215809964
2,-7388.0,-8695.0,0,ls_space,110,1,120.523,2.842170943040401e-15,5.684341886080802e-15,0.2425077318355092,0.13899204250166441
3,-7388.0,-8545.0,0,iso_line,110,1,82.157,-1.1368683772161604e-14,9.947598300641402e-15,0.28776726707532796,0.21905582518038036
4,-7388.0,-8345.0,0,iso_space,110,2,114.499,5.684341886080802e-15,7.105427357601002e-15,0.18190656942507463,0.18183908970695756
5,-7388.0,-8195.0,0,ls_line,110,2,99.691,-5.684341886080802e-15,0.0,0.1512944149663105,0.08843419056341768
6,-7388.0,-8195.0,0,ls_space,110,2,120.232,1.4210854715202005e-15,-2.5579538487363607e-14,0.2028792744466485,0.19495454015557384
7,-7388.0,-8045.0,0,iso_line,110,2,82.159,-2.1316282072803006e-14,0.0,0.36067991349671347,0.1881456560189086
8,-7388.0,-7845.0,0,iso_space,110,3,114.776,4.263256414560601e-15,-1.4210854715202005e-15,0.11933147112141357,0.09380185434621674
9,-7388.0,-7695.0,0,ls_line,110,3,99.51,-7.105427357601002e-15,-5.684341886080802e-15,0.15937377450509088,0.12025226010601596
10,-7388.0,-7695.0,0,ls_space,110,3,120.279,1.4210854715202005e-15,5.684341886080802e-15,0.17518561584787581,0.1425439857685641
11,-7388.0,-7545.0,0,iso_line,110,3,82.04400000000001,5.684341886080802e-15,-9.947598300641402e-15,0.26502830037564745,0.21792130912257546
12,-7088.0,-8845.0,0,iso_space,200,1,210.589,2.842170943040401e-15,-2.842170943040401e-15,0.31637003650788387,0.17314908622515066
13,-7088.0,-8695.0,0,ls_line,200,1,184.31,-2.842170943040401e-15,3.979039320256561e-14,0.12083045973594403,0.10325608060456914
14,-7088.0,-8695.0,0,ls_space,200,1,214.53400000000002,-1.7053025658242404e-14,8.526512829121202e-15,0.38397916610149374,0.15522027358993667
15,-7088.0,-8545.0,0,iso_line,200,1,173.91500000000002,-2.2737367544323207e-14,1.9895196601282804e-14,0.2446425964545182,0.15555959590712565
16,-7088.0,-8345.0,0,iso_space,200,2,210.48000000000002,-1.7053025658242404e-14,2.5579538487363607e-14,0.30397368307141454,0.1502724797886003
17,-7088.0,-8195.0,0,ls_line,200,2,185.196,0.0,1.4210854715202004e-14,0.13505554412908027,0.08544358408098537
18,-7088.0,-8195.0,0,ls_space,200,2,213.599,-1.9895196601282804e-14,8.526512829121202e-15,0.23977072381756953,0.1434594230457043
19,-7088.0,-8045.0,0,iso_line,200,2,174.43599999999998,-1.1368683772161604e-14,-2.842170943040401e-15,0.12425779653608349,0.05545404868134381
20,-7088.0,-7845.0,0,iso_space,200,3,210.161,0.0,-1.9895196601282804e-14,0.30081555810829824,0.17612667617544764
21,-7088.0,-7695.0,0,ls_line,200,3,185.305,2.2737367544323207e-14,2.2737367544323207e-14,0.17044060549057985,0.11349008767287228
22,-7088.0,-7695.0,0,ls_space,200,3,214.154,5.684341886080802e-15,2.842170943040401e-14,0.22636254107072457,0.17262325416578833
23,-7088.0,-7545.0,0,iso_line,200,3,174.38,5.684341886080802e-15,2.842170943040401e-15,0.22671568097508954,0.09729056760784258
24,-6638.0,-8845.0,0,iso_space,400,1,513.29,-7.958078640513122e-14,0.0,0.5966573556070409,0.1563639887239779
25,-6638.0,-8695.0,0,ls_line,400,1,482.604,1.1368683772161604e-14,3.979039320256561e-14,0.16804761230080484,0.16781663875323685
26,-6638.0,-8695.0,0,ls_space,400,1,515.733,-5.684341886080802e-14,4.5474735088646414e-14,0.48208920336387384,0.15214825305967128
27,-6638.0,-8545.0,0,iso_line,400,1,476.66,3.979039320256561e-14,6.821210263296962e-14,0.21679483388680063,0.13371158468430944
28,-6638.0,-8345.0,0,iso_space,400,2,513.987,3.410605131648481e-14,1.1368683772161604e-14,0.3455575205375174,0.20525519961671695
29,-6638.0,-8195.0,0,ls_line,400,2,483.062,-5.684341886080802e-15,-3.979039320256561e-14,0.26336286754210614,0.23663550797878657
30,-6638.0,-8195.0,0,ls_space,400,2,515.646,4.5474735088646414e-14,-6.821210263296962e-14,0.2963781368455121,0.20198709829789385
31,-6638.0,-8045.0,0,iso_line,400,2,479.079,-1.1368683772161604e-14,-6.821210263296962e-14,0.3342005385992384,0.16592075509019488
32,-6638.0,-7845.0,0,iso_space,400,3,514.205,-5.684341886080802e-14,3.410605131648481e-14,0.31344856037313473,0.13828385387470302
33,-6638.0,-7695.0,0,ls_line,400,3,482.707,-4.5474735088646414e-14,-3.410605131648481e-14,0.21121079517865782,0.12814291264288052
34,-6638.0,-7695.0,0,ls_space,400,3,516.169,1.1368683772161604e-14,-9.094947017729283e-14,0.30247313930329234,0.15013932923063128
35,-6638.0,-7545.0,0,iso_line,400,3,476.50200000000007,-6.252776074688882e-14,7.958078640513122e-14,0.30126400382386903,0.15797199598393447
