<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<POS1>,<POS2>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-53871.000,-32707.025,-53871.000000,-32707.036242,-64.667969,0,2,4,1,-,1,Hor 50nm,CD Meas,270.0,83,87,-,-,-,1,0,,-53871.000,-32707.000,Y,90.000000,1,SPACE-Y,49.199,49.199,50.000,,2,0,,-53871.000,-32707.025,Y,90.000000,2,PICHR-Y,99.862,99.862,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0001.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,2.672819:52.021464,-47.840406:52.021464,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:34:42
0,1,-53868.000,-32707.025,-53868.000000,-32707.036242,-64.667969,0,2,4,2,-,2,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53868.000,-32707.000,Y,90.000000,1,SPACE-Y,49.116,49.116,50.000,,2,0,,-53868.000,-32707.025,Y,90.000000,2,PICHR-Y,100.102,100.102,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0002.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,1.394025:50.659616,-49.442150:50.659616,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:34:45
0,1,-53865.000,-32707.025,-53865.000000,-32707.036242,-64.667969,0,2,4,3,-,3,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53865.000,-32707.000,Y,90.000000,1,SPACE-Y,49.206,49.206,50.000,,2,0,,-53865.000,-32707.025,Y,90.000000,2,PICHR-Y,100.213,100.213,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0003.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,1.219771:50.575291,-49.637449:50.575291,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:34:48
0,1,-53862.000,-32707.025,-53862.000000,-32707.036242,-64.667969,0,2,4,4,-,4,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53862.000,-32707.000,Y,90.000000,1,SPACE-Y,48.781,48.781,50.000,,2,0,,-53862.000,-32707.025,Y,90.000000,2,PICHR-Y,99.953,99.953,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0004.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.555082:49.486097,-50.466416:49.486097,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:34:50
0,1,-53859.000,-32707.025,-53859.000000,-32707.036242,-64.667969,0,2,4,5,-,5,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53859.000,-32707.000,Y,90.000000,1,SPACE-Y,49.184,49.184,50.000,,2,0,,-53859.000,-32707.025,Y,90.000000,2,PICHR-Y,99.916,99.916,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0005.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.112424:49.446745,-50.469227:49.446745,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:34:53
0,1,-53856.000,-32707.025,-53856.000000,-32707.036242,-64.667969,0,2,4,6,-,6,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53856.000,-32707.000,Y,90.000000,1,SPACE-Y,49.011,49.011,50.000,,2,0,,-53856.000,-32707.025,Y,90.000000,2,PICHR-Y,99.994,99.994,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0006.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.737759:48.423609,-51.570764:48.423609,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:34:56
0,1,-53853.000,-32707.025,-53853.000000,-32707.036242,-64.667969,0,2,4,7,-,7,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53853.000,-32707.000,Y,90.000000,1,SPACE-Y,49.613,49.613,50.000,,2,0,,-53853.000,-32707.025,Y,90.000000,2,PICHR-Y,99.737,99.737,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0007.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.571938:49.190961,-50.546502:49.190961,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:34:58
0,1,-53850.000,-32707.025,-53850.000000,-32707.036242,-64.667969,0,2,4,8,-,8,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53850.000,-32707.000,Y,90.000000,1,SPACE-Y,49.309,49.309,50.000,,2,0,,-53850.000,-32707.025,Y,90.000000,2,PICHR-Y,100.108,100.108,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0008.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.078697:49.538098,-50.570389:49.538098,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:35:01
0,1,-53871.000,-32704.025,-53871.000000,-32704.036242,-64.667969,0,2,4,9,-,9,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53871.000,-32704.000,Y,90.000000,1,SPACE-Y,49.354,49.354,50.000,,2,0,,-53871.000,-32704.025,Y,90.000000,2,PICHR-Y,100.180,100.180,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0009.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.396287:49.900694,-50.279548:49.900694,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:35:04
0,1,-53868.000,-32704.025,-53868.000000,-32704.036242,-64.667969,0,2,4,10,-,10,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53868.000,-32704.000,Y,90.000000,1,SPACE-Y,49.326,49.326,50.000,,2,0,,-53868.000,-32704.025,Y,90.000000,2,PICHR-Y,100.139,100.139,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_2-4\CD_mean_160pA_V01_2-4.000.A00002004S0010.bmp,CD_mean_160pA_V01_2-4.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.321802:49.154421,-50.984870:49.154421,BE1200_LIP:1200eV:-169.099pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/08/2023,14:35:07
