<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<POS1>,<POS2>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,18165.000,-8695.025,18165.140501,-8695.176811,-74.238281,0,8,6,1,-,1,Hor 50nm,CD Meas,270.0,83,86,-,-,-,1,0,,18165.000,-8695.000,Y,90.000000,1,SPACE-Y,47.996,47.996,50.000,,2,0,,18165.000,-8695.025,Y,90.000000,2,PICHR-Y,100.010,100.010,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0001.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,1.470323:49.616742,-50.393520:49.616742,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:16
0,1,18168.000,-8695.025,18168.140501,-8695.176811,-74.238281,0,8,6,2,-,2,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18168.000,-8695.000,Y,90.000000,1,SPACE-Y,47.582,47.582,50.000,,2,0,,18168.000,-8695.025,Y,90.000000,2,PICHR-Y,99.548,99.548,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0002.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,1.620729:49.352450,-50.195355:49.352450,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:19
0,1,18171.000,-8695.025,18171.140501,-8695.176811,-74.238281,0,8,6,3,-,3,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18171.000,-8695.000,Y,90.000000,1,SPACE-Y,47.970,47.970,50.000,,2,0,,18171.000,-8695.025,Y,90.000000,2,PICHR-Y,99.849,99.849,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0003.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,1.110474:49.230145,-50.618387:49.230145,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:22
0,1,18174.000,-8695.025,18174.140501,-8695.176811,-74.238281,0,8,6,4,-,4,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18174.000,-8695.000,Y,90.000000,1,SPACE-Y,48.037,48.037,50.000,,2,0,,18174.000,-8695.025,Y,90.000000,2,PICHR-Y,100.030,100.030,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0004.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.657851:48.844955,-51.184771:48.844955,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:25
0,1,18177.000,-8695.025,18177.140501,-8695.176811,-74.238281,0,8,6,5,-,5,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18177.000,-8695.000,Y,90.000000,1,SPACE-Y,47.913,47.913,50.000,,2,0,,18177.000,-8695.025,Y,90.000000,2,PICHR-Y,99.878,99.878,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0005.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,0.248804:48.312155,-51.565640:48.312155,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:28
0,1,18180.000,-8695.025,18180.140501,-8695.176811,-74.238281,0,8,6,6,-,6,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18180.000,-8695.000,Y,90.000000,1,SPACE-Y,48.007,48.007,50.000,,2,0,,18180.000,-8695.025,Y,90.000000,2,PICHR-Y,99.844,99.844,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0006.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.513063:47.644399,-52.199482:47.644399,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:30
0,1,18183.000,-8695.025,18183.140501,-8695.176811,-74.238281,0,8,6,7,-,7,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18183.000,-8695.000,Y,90.000000,1,SPACE-Y,48.297,48.297,50.000,,2,0,,18183.000,-8695.025,Y,90.000000,2,PICHR-Y,100.145,100.145,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0007.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.442780:48.004284,-52.140454:48.004284,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:33
0,1,18186.000,-8695.025,18186.140501,-8695.176811,-74.238281,0,8,6,8,-,8,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18186.000,-8695.000,Y,90.000000,1,SPACE-Y,48.709,48.709,50.000,,2,0,,18186.000,-8695.025,Y,90.000000,2,PICHR-Y,100.363,100.363,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0008.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-0.290969:48.568011,-51.794723:48.568011,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:36
0,1,18165.000,-8692.025,18165.140501,-8692.176811,-74.238281,0,8,6,9,-,9,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18165.000,-8692.000,Y,90.000000,1,SPACE-Y,48.300,48.300,50.000,,2,0,,18165.000,-8692.025,Y,90.000000,2,PICHR-Y,100.090,100.090,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0009.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.828755:46.620977,-53.468566:46.620977,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:39
0,1,18168.000,-8692.025,18168.140501,-8692.176811,-74.238281,0,8,6,10,-,10,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,18168.000,-8692.000,Y,90.000000,1,SPACE-Y,48.138,48.138,50.000,,2,0,,18168.000,-8692.025,Y,90.000000,2,PICHR-Y,100.016,100.016,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_8-6\CD_mean_160pA_V01_8-6.000.A00008006S0010.bmp,CD_mean_160pA_V01_8-6.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-2.880182:45.407775,-54.608347:45.407775,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),01/12/2024,12:32:42
