<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<POS1>,<POS2>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-17853.000,15316.975,-17852.988760,15316.986245,-69.658203,0,5,8,1,-,1,Hor 50nm,CD Meas,270.0,83,87,-,-,-,1,0,,-17853.000,15317.000,Y,90.000000,1,SPACE-Y,48.255,48.255,50.000,,2,0,,-17853.000,15316.975,Y,90.000000,2,PICHR-Y,99.987,99.987,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0001.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.262277:47.142528,-52.844563:47.142528,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:09
0,1,-17850.000,15316.975,-17849.988760,15316.986245,-69.658203,0,5,8,2,-,2,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17850.000,15317.000,Y,90.000000,1,SPACE-Y,48.145,48.145,50.000,,2,0,,-17850.000,15316.975,Y,90.000000,2,PICHR-Y,100.052,100.052,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0002.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.370512:46.924629,-53.127052:46.924629,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:11
0,1,-17847.000,15316.975,-17846.988760,15316.986245,-69.658203,0,5,8,3,-,3,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17847.000,15317.000,Y,90.000000,1,SPACE-Y,47.917,47.917,50.000,,2,0,,-17847.000,15316.975,Y,90.000000,2,PICHR-Y,99.881,99.881,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0003.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-2.243422:45.823890,-54.057429:45.823890,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:14
0,1,-17844.000,15316.975,-17843.988760,15316.986245,-69.658203,0,5,8,4,-,4,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17844.000,15317.000,Y,90.000000,1,SPACE-Y,47.663,47.663,50.000,,2,0,,-17844.000,15316.975,Y,90.000000,2,PICHR-Y,100.089,100.089,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0004.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-2.644033:45.168790,-54.920344:45.168790,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:17
0,1,-17841.000,15316.975,-17840.988760,15316.986245,-69.658203,0,5,8,5,-,5,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17841.000,15317.000,Y,90.000000,1,SPACE-Y,47.886,47.886,50.000,,2,0,,-17841.000,15316.975,Y,90.000000,2,PICHR-Y,99.975,99.975,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0005.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.940041:44.096170,-55.878823:44.096170,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:20
0,1,-17838.000,15316.975,-17837.988760,15316.986245,-69.658203,0,5,8,6,-,6,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17838.000,15317.000,Y,90.000000,1,SPACE-Y,48.208,48.208,50.000,,2,0,,-17838.000,15316.975,Y,90.000000,2,PICHR-Y,100.071,100.071,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0006.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-4.242255:44.115851,-55.954713:44.115851,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:22
0,1,-17835.000,15316.975,-17834.988760,15316.986245,-69.658203,0,5,8,7,-,7,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17835.000,15317.000,Y,90.000000,1,SPACE-Y,48.458,48.458,50.000,,2,0,,-17835.000,15316.975,Y,90.000000,2,PICHR-Y,100.124,100.124,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0007.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-4.879011:43.729259,-56.394600:43.729259,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:25
0,1,-17832.000,15316.975,-17831.988760,15316.986245,-69.658203,0,5,8,8,-,8,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17832.000,15317.000,Y,90.000000,1,SPACE-Y,48.110,48.110,50.000,,2,0,,-17832.000,15316.975,Y,90.000000,2,PICHR-Y,100.064,100.064,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0008.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-4.015946:44.243778,-55.819796:44.243778,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:28
0,1,-17853.000,15319.975,-17852.988760,15319.986245,-69.658203,0,5,8,9,-,9,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17853.000,15320.000,Y,90.000000,1,SPACE-Y,48.366,48.366,50.000,,2,0,,-17853.000,15319.975,Y,90.000000,2,PICHR-Y,100.099,100.099,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0009.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-4.762343:43.753158,-56.345411:43.753158,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:32
0,1,-17850.000,15319.975,-17849.988760,15319.986245,-69.658203,0,5,8,10,-,10,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-17850.000,15320.000,Y,90.000000,1,SPACE-Y,48.261,48.261,50.000,,2,0,,-17850.000,15319.975,Y,90.000000,2,PICHR-Y,99.906,99.906,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean 160pA\CD_mean_160pA_V01_5-8\CD_mean_160pA_V01_5-8.000.A00005008S0010.bmp,CD_mean_160pA_V01_5-8.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-5.113754:43.297682,-56.608219:43.297682,BE1200_LIP:1200eV:---pA:O3on:GasOn,LINE_FULL:50000:16:0x0:28.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/12/2023,12:23:34
