<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<POS1>,<POS2>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-53871.000,-20701.025,-53870.988755,-20701.109384,-60.019531,0,2,5,1,-,1,Hor 50nm,CD Meas,270.0,84,96,-,-,-,1,0,,-53871.000,-20701.000,Y,90.000000,1,SPACE-Y,48.702,48.702,50.000,,2,0,,-53871.000,-20701.025,Y,90.000000,2,PICHR-Y,99.579,99.579,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0001.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.327639:47.524743,-52.054151:47.524743,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:36
0,1,-53868.000,-20701.025,-53867.988755,-20701.109384,-60.019531,0,2,5,2,-,2,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53868.000,-20701.000,Y,90.000000,1,SPACE-Y,48.909,48.909,50.000,,2,0,,-53868.000,-20701.025,Y,90.000000,2,PICHR-Y,99.944,99.944,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0002.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.810033:47.249060,-52.695360:47.249060,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:39
0,1,-53865.000,-20701.025,-53864.988755,-20701.109384,-60.019531,0,2,5,3,-,3,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-53865.000,-20701.000,Y,90.000000,1,SPACE-Y,48.937,48.937,50.000,,2,0,,-53865.000,-20701.025,Y,90.000000,2,PICHR-Y,100.089,100.089,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0003.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-2.199605:46.887578,-53.201574:46.887578,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:42
0,1,-53862.000,-20701.025,-53861.988755,-20701.109384,-60.019531,0,2,5,4,-,4,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-53862.000,-20701.000,Y,90.000000,1,SPACE-Y,48.964,48.964,50.000,,2,0,,-53862.000,-20701.025,Y,90.000000,2,PICHR-Y,100.321,100.321,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0004.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-2.852172:46.261667,-54.059324:46.261667,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:45
0,1,-53859.000,-20701.025,-53858.988755,-20701.109384,-60.019531,0,2,5,5,-,5,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-53859.000,-20701.000,Y,90.000000,1,SPACE-Y,48.649,48.649,50.000,,2,0,,-53859.000,-20701.025,Y,90.000000,2,PICHR-Y,99.999,99.999,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0005.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.545524:45.253178,-54.745523:45.253178,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:47
0,1,-53856.000,-20701.025,-53855.988755,-20701.109384,-60.019531,0,2,5,6,-,6,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-53856.000,-20701.000,Y,90.000000,1,SPACE-Y,48.761,48.761,50.000,,2,0,,-53856.000,-20701.025,Y,90.000000,2,PICHR-Y,99.805,99.805,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0006.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.756483:45.154720,-54.649905:45.154720,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:50
0,1,-53853.000,-20701.025,-53852.988755,-20701.109384,-60.019531,0,2,5,7,-,7,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-53853.000,-20701.000,Y,90.000000,1,SPACE-Y,48.823,48.823,50.000,,2,0,,-53853.000,-20701.025,Y,90.000000,2,PICHR-Y,99.761,99.761,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0007.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-4.155897:44.817152,-54.943789:44.817152,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:53
0,1,-53850.000,-20701.025,-53849.988755,-20701.109384,-60.019531,0,2,5,8,-,8,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-53850.000,-20701.000,Y,90.000000,1,SPACE-Y,48.869,48.869,50.000,,2,0,,-53850.000,-20701.025,Y,90.000000,2,PICHR-Y,99.516,99.516,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0008.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.967441:45.052043,-54.464294:45.052043,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:56
0,1,-53871.000,-20698.025,-53870.988755,-20698.109384,-60.019531,0,2,5,9,-,9,Hor 50nm,CD Meas,270.0,83,999,-,-,-,1,0,,-53871.000,-20698.000,Y,90.000000,1,SPACE-Y,49.043,49.043,50.000,,2,0,,-53871.000,-20698.025,Y,90.000000,2,PICHR-Y,100.335,100.335,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0009.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-1.852225:47.340485,-52.994870:47.340485,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:44:59
0,1,-53868.000,-20698.025,-53867.988755,-20698.109384,-60.019531,0,2,5,10,-,10,Hor 50nm,CD Meas,270.0,84,999,-,-,-,1,0,,-53868.000,-20698.000,Y,90.000000,1,SPACE-Y,48.794,48.794,50.000,,2,0,,-53868.000,-20698.025,Y,90.000000,2,PICHR-Y,100.028,100.028,100.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\CD mean\CD_mean_V01_2-5\CD_mean_V01_2-5.000.A00002005S0010.bmp,CD_mean_V01_2-5.job,@1:RCP:1:1:4:SPACE-Y:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.025:0.0500:0.000:999.999:0.020:10040.000:0.000:0.050:0.000;@2:RCP:1:1:4:PICHR-Y:2:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.1000:0.000:999.999:0.030:10040.000:0.000:0.100:0.000;@E,S06:D05:F40pix,S06:D05:F40pix,-3.441451:45.502136,-54.526165:45.502136,BE1200:1200eV:-31.596pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/09/2023,15:45:02
