<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<FLD2>,<RFLD2>,<COND2>,<XFDP2>,<YFDP2>,<AXS2>,<ANG2>,<TYP2>,<LBL2>,<CD_2>,<CCD2>,<DES2>,<CAL2>,<FLD3>,<RFLD3>,<COND3>,<XFDP3>,<YFDP3>,<AXS3>,<ANG3>,<TYP3>,<LBL3>,<CD_3>,<CCD3>,<DES3>,<CAL3>,<IMAG>,<JOBN>,<RECP>,<MET1>,<MET2>,<MET3>,<POS1>,<POS2>,<POS3>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-19694.000,-8855.000,-19694.014072,-8854.957800,-65.078125,0,5,6,1,-,1,1,CD Meas,0.0,82,90,-,-,-,1,0,,-19694.000,-8855.000,X,0.000000,1,SPACE-X,79.748,79.748,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0001.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-44.162035:35.586342,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:31
0,1,-19694.000,-8850.000,-19694.014072,-8849.957800,-65.078125,0,5,6,2,-,2,1,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8850.000,X,0.000000,1,SPACE-X,80.010,80.010,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0002.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-45.501487:34.508354,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:33
0,1,-19694.000,-8845.000,-19694.014072,-8844.957800,-65.078125,0,5,6,3,-,3,1,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8845.000,X,0.000000,1,SPACE-X,80.035,80.035,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0003.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-45.756150:34.278966,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:36
0,1,-19694.000,-8840.000,-19694.014072,-8839.957800,-65.078125,0,5,6,4,-,4,1,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8840.000,X,0.000000,1,SPACE-X,79.877,79.877,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0004.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-45.967199:33.910255,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:39
0,1,-19694.000,-8835.000,-19694.014072,-8834.957800,-65.078125,0,5,6,5,-,5,1,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8835.000,X,0.000000,1,SPACE-X,79.806,79.806,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0005.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:SPACE-X:1:E/l2.250/S6/D5/P2/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-46.693198:33.112323,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:42
0,1,-19694.000,-8555.000,-19694.014072,-8554.957800,-65.078125,0,5,6,6,-,6,3,CD Meas,0.0,82,81,-,-,-,1,0,,-19694.000,-8555.000,X,0.000000,0,LINE_-X,75.250,75.250,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0006.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-46.067092:29.183192,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:50
0,1,-19694.000,-8550.000,-19694.014072,-8549.957800,-65.009766,0,5,6,7,-,7,3,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8550.000,X,0.000000,0,LINE_-X,75.758,75.758,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0007.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-46.864848:28.893292,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:55
0,1,-19694.000,-8545.000,-19694.014072,-8544.957800,-64.873047,0,5,6,8,-,8,3,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8545.000,X,0.000000,0,LINE_-X,75.724,75.724,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0008.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-46.325977:29.398504,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:40:59
0,1,-19694.000,-8540.000,-19694.014072,-8539.957800,-64.873047,0,5,6,9,-,9,3,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8540.000,X,0.000000,0,LINE_-X,75.644,75.644,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0009.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-46.808569:28.835594,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:41:03
0,1,-19694.000,-8535.000,-19694.014072,-8534.957800,-65.078125,0,5,6,10,-,10,3,CD Meas,0.0,82,999,-,-,-,1,0,,-19694.000,-8535.000,X,0.000000,0,LINE_-X,75.175,75.175,80.000,,-,-,,,,-,0.000000,-1,,--,--,--,,-,-,,,,-,0.000000,-1,,--,--,--,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\XY scan difference category\XY_scan_difference_category_R0_V01_5-6\XY_scan_difference_category_R0_V01_5-6.000.A00005006S0010.bmp,XY_scan_difference_category_R0_V01_5-6.job,@1:RCP:1:1:3:LINE_-X:0:E/l2.250/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.0800:0.000:999.999:0.040:10040.000:0.000:0.080:0.000;@E,S06:D05:F40pix,,,-47.133582:28.041892,,,BE1200:1200eV:-31.716pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),12/02/2023,12:41:07
