<STAT>,<GENE>,<XDPS>,<YDPS>,<XPOS>,<YPOS>,<ZPOS>,<MIDA>,<COLA>,<ROWA>,<SITE>,<OWNER>,<ORIG>,<SNAM>,<DBMMEAS>,<ROTA>,<AFQV>,<PMQV>,<FPMQV>,<FPMXG>,<FPMYG>,<FLD1>,<RFLD1>,<COND1>,<XFDP1>,<YFDP1>,<AXS1>,<ANG1>,<TYP1>,<LBL1>,<CD_1>,<CCD1>,<DES1>,<CAL1>,<IMAG>,<JOBN>,<RECP>,<MET1>,<POS1>,<BEAM>,<SCAN>,<TOOLN>,<Ver.>,<DATE>,<TIME>
0,1,-29110.000,-8695.100,-29110.039368,-8695.071866,-64.189453,0,4,6,1,-,1,Hor 50K,CD Meas,270.0,82,77,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,400.099,400.099,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0001.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S06:D05:F05div,-199.463934:200.634942,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:04
0,1,-29110.000,-8695.100,-29110.039368,-8695.071866,-64.189453,0,4,6,2,-,2,Hor 75K,CD Meas,270.0,82,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,399.953,399.953,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0002.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S9/D7/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S09:D07:F05div,-205.981419:193.971457,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:75000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:07
0,1,-29110.000,-8695.100,-29110.039368,-8695.071866,-64.189453,0,4,6,3,-,3,Hor 100K,CD Meas,270.0,82,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,399.829,399.829,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0003.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S12/D9/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S12:D09:F05div,-206.520732:193.308292,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:100000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:10
0,1,-29110.000,-8695.100,-29110.039368,-8695.071866,-64.189453,0,4,6,4,-,4,Hor 150K,CD Meas,270.0,82,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,400.017,400.017,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0004.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S18/D13/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S18:D13:F05div,-206.030156:193.986855,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:150000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:12
0,1,-29110.000,-8695.100,-29110.039368,-8695.071866,-64.189453,0,4,6,5,-,5,Hor 200K,CD Meas,270.0,82,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,400.049,400.049,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0005.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S24/D17/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S24:D17:F05div,-207.320586:192.727951,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:200000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:15
0,1,-29110.000,-8695.100,-29110.044992,-8695.071866,-64.121094,0,4,6,6,-,6,Hor 50K,CD Meas,270.0,82,77,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,399.694,399.694,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0006.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S6/D5/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S06:D05:F05div,-199.210928:200.482952,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:50000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:21
0,1,-29110.000,-8695.100,-29110.044992,-8695.071866,-64.121094,0,4,6,7,-,7,Hor 75K,CD Meas,270.0,82,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,399.984,399.984,400.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0007.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S9/D7/P1/$1/N000000/T00/W0:0.000:0.000:0.4000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S09:D07:F05div,-207.368161:192.615882,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:75000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:24
0,1,-29110.000,-8695.100,-29110.044992,-8695.071866,-64.121094,0,4,6,8,-,8,Hor 100K,CD Meas,270.0,81,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,399.634,399.634,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0008.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S12/D9/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S12:D09:F05div,-207.821067:191.813181,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:100000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:26
0,1,-29110.000,-8695.100,-29110.044992,-8695.071866,-64.121094,0,4,6,9,-,9,Hor 150K,CD Meas,270.0,82,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,400.060,400.060,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0009.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S18/D13/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S18:D13:F05div,-207.082777:192.977106,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:150000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:29
0,1,-29110.000,-8695.100,-29110.044992,-8695.071866,-64.121094,0,4,6,10,-,10,Hor 200K,CD Meas,270.0,81,999,-,-,-,1,0,,-29110.000,-8695.100,Y,90.000000,2,PICHR-Y,399.965,399.965,600.000,,C:\DATADIR\result\QC\No 14 SEBP504G-W4F\Magnification Error\Magnification_Error_V01_4-6\Magnification_Error_V01_4-6.000.A00004006S0010.bmp,Magnification_Error_V01_4-6.job,@1:RCP:1:1:4:PICHR-Y:2:E/l0.560/S24/D17/P1/$1/N000000/T00/W0:0.000:0.000:0.6000:0.000:999.999:0.050:5.000:0.000:0.400:0.000;@E,S24:D17:F05div,-208.114611:191.850867,BE1200:1200eV:-30.595pA:O3on:GasOn,LINE_FULL:200000:16:0x0:38.00%+0.00:SSS0:SRSA0,E3640 NFT01,5.03A (5.03.2004),11/15/2023,23:50:31
